model,N,pbc,E0,lambda1,lambda2,gap,S_half
xxz,6,False,-9.974308535551705,0.2846625944094152,0.5907326853050713,0.30607009089565607,0.7113730475806016
xxz,8,False,-13.499730394751571,0.22284317912819834,0.4798188980451968,0.25697571891699844,0.45697577311361465
xxz,10,False,-17.03214082913151,0.1828792093018192,0.40265578872731256,0.21977657942549336,0.7378694353609427
xxz,12,False,-20.5683625313621,0.15503678493436895,0.34649005688907025,0.1914532719547013,0.5368332535915661
xxz,14,False,-24.106898647448677,0.13456755694160344,0.30398689266025697,0.16941933571865353,0.7622502887073317
xxz,16,False,-27.646948582300407,0.11890165249869249,0.27078185666608956,0.15188020416739706,0.5923070340409249
xxz,18,False,-31.188044274146055,0.10653325061145247,0.2441584894199129,0.13762523880846042,0.7837422218342522
xxz,20,False,-34.7298933375959,0.09652377439751053,0.22235164353560294,0.1258278691380924,0.6345730614137495
tfim,6,False,-7.296229810559725,0.6678017167658843,1.0878577278876411,0.42005601112175683,0.32798798713013133
tfim,8,False,-9.837951447460485,0.5620941428017461,0.9144424389313961,0.35234829612965,0.35716138512420786
tfim,10,False,-12.381489999655905,0.5030723996011217,0.8148602497133661,0.3117878501122444,0.3790524054559413
tfim,12,False,-14.925971109909874,0.4648896983751549,0.7496224114419233,0.2847327130667684,0.39651621108374335
tfim,14,False,-17.471004054733022,0.43792432491589817,0.7032156406916409,0.2652913157757427,0.4110193959486994
tfim,16,False,-20.0163879004864,0.4177361433987731,0.6683028043376785,0.25056666093890545,0.4234093173711254
tfim,18,False,-22.562008724832975,0.4019782717484542,0.6409516897929742,0.23897341804452005,0.4342177369570276
tfim,20,False,-25.10779711162514,0.3892875566163548,0.6188583841946467,0.2295708275782919,0.44379943059447846
