model,x,lambda1,lambda2,gap,alpha,alpha_r2
xxz,0.02,0.4062243856830178,0.6972070542600924,0.29098266857707467,1.3032353180630343,0.9677174800533649
xxz,0.0695,0.3878367900526773,0.6764749784617904,0.2886381884091131,1.3457243321900276,0.9658154483426801
xxz,0.119,0.3704996407607908,0.6566191022198351,0.2861194614590443,1.3872878288580015,0.9639047637681379
xxz,0.1685,0.35419320968514284,0.6376858336925936,0.28349262400745073,1.4279244925575567,0.9619911061172596
xxz,0.218,0.3388988269527088,0.6197156513135336,0.2808168243608248,1.4676166241671884,0.9600795058033228
xxz,0.2675,0.32459899482105,0.6027435983292132,0.2781446035081632,1.5063280595457667,0.958174598635954
xxz,0.317,0.31127756148339447,0.5867997767905134,0.27552221530711896,1.5440015853042501,0.9562809696693204
xxz,0.3665,0.29891991949490626,0.5719098235517028,0.2729899040567966,1.580555956695997,0.9544036017812159
xxz,0.416,0.2875132035658808,0.5580953541984932,0.27058215063261243,1.615882661208479,0.9525484378216851
xxz,0.4655,0.2770464667766018,0.545374362131829,0.2683278953552272,1.649842648477361,0.9507230532878335
xxz,0.515,0.26751081909729735,0.5337615627273121,0.2662507436300148,1.6822633423649889,0.9489374164847323
xxz,0.5645,0.25889951588621973,0.5232686752755481,0.26436915938932837,1.7129363695410307,0.9472046838945629
xxz,0.614,0.25120798706479974,0.5139046379673288,0.262696650902529,1.7416165717170724,0.9455419398442124
xxz,0.6635,0.24443380041600204,0.5056757538686032,0.26124195345260115,1.7680229948689898,0.9439707444378461
xxz,0.713,0.23857655481579165,0.49858576826037915,0.2600092134445875,1.7918426329229333,0.9425173099665148
xxz,0.7625,0.2336377014324622,0.4926358800565126,0.2589981786240504,1.812737690421807,0.9412120983454431
xxz,0.812,0.22962029303698045,0.4878246921886141,0.2582043991516336,1.8303569503712283,0.940088642067649
xxz,0.8615,0.22652866363320862,0.48414810788346563,0.257619444250257,1.844351425360352,0.9391814628777819
xxz,0.911,0.22436804266010926,0.48159918163595533,0.25723113897584604,1.854393806577901,0.9385231121054654
xxz,0.9605,0.2231441100425775,0.4801679353711645,0.257023825328587,1.8602003650730852,0.9381405765827937
xxz,1.0,0.22284317912832835,0.4798188980330656,0.25697571890473725,1.8616465882140354,0.9380454166488184
xxz,1.01,0.22286250036248617,0.4798411517650648,0.25697865140257864,1.861553078837827,0.9380515380358622
xxz,1.0595,0.22352826634944584,0.48060215787436367,0.25707389152491783,1.858319137823099,0.9382611574950276
xxz,1.109,0.22514531371447494,0.4824306130721303,0.2572852993576554,1.8504649110457414,0.9387600845515467
xxz,1.1585,0.22771582100257926,0.485302315701211,0.25758649469863176,1.8380621090548335,0.9395242082664317
xxz,1.208,0.23123965955192077,0.4891890427863908,0.25794938323447003,1.821285150460675,0.9405163005385763
xxz,1.2575,0.23571382973118832,0.494058436519782,0.25834460678859367,1.8004002918069681,0.9416892700947193
xxz,1.307,0.24113193028881297,0.4998739500240193,0.25874201973520633,1.7757484366587475,0.9429903993030078
xxz,1.3565,0.24748367779117186,0.5065948630849116,0.2591111852937398,1.7477243287200213,0.9443657900680238
xxz,1.406,0.2547544926646269,0.51417637616956,0.2594218835049331,1.7167549279059295,0.9457643207297884
xxz,1.4555,0.2629251672162881,0.5225697881654269,0.25964462094913876,1.6832792936758008,0.9471406472433151
xxz,1.505,0.27197162915425344,0.5317227600096701,0.2597511308554167,1.6477315237899024,0.9484570635082239
