N,t,lambda1,lambda2,gap,alpha
8,0.2,0.41395635433119143,0.7058204017979565,0.29186404746676503,1.3235173771044846
8,0.29000000000000004,0.41395635433119654,0.7058204017979589,0.29186404746676237,1.3235173771044741
8,0.38,0.413956354331196,0.7058204017979582,0.29186404746676226,1.3235173771044744
8,0.47000000000000003,0.41395635433119427,0.7058204017979578,0.29186404746676353,1.32351737710448
8,0.56,0.41395635433119615,0.7058204017979586,0.2918640474667624,1.323517377104474
8,0.6499999999999999,0.4139563543311967,0.7058204017979588,0.2918640474667621,1.3235173771044717
8,0.74,0.4139563543311913,0.7058204017979561,0.2918640474667648,1.3235173771044857
8,0.8300000000000001,0.4139563543311938,0.7058204017979577,0.29186404746676387,1.323517377104479
8,0.9199999999999999,0.4139563543311944,0.7058204017979579,0.29186404746676353,1.3235173771044775
8,1.01,0.41395635433119427,0.7058204017979574,0.2918640474667631,1.32351737710448
8,1.0999999999999999,0.41395635433119804,0.70582040179796,0.291864047466762,1.3235173771044706
8,1.19,0.41395635433119393,0.7058204017979575,0.29186404746676353,1.32351737710448
8,1.28,0.41395635433119554,0.7058204017979589,0.29186404746676337,1.3235173771044761
8,1.3699999999999999,0.4139563543311941,0.7058204017979574,0.29186404746676325,1.3235173771044781
8,1.46,0.4139563543311964,0.705820401797959,0.29186404746676264,1.3235173771044744
8,1.5499999999999998,0.41395635433119515,0.7058204017979584,0.2918640474667632,1.3235173771044766
8,1.64,0.4139563543311944,0.7058204017979572,0.29186404746676287,1.3235173771044786
8,1.73,0.41395635433119427,0.7058204017979571,0.29186404746676287,1.32351737710448
8,1.8199999999999998,0.41395635433119315,0.7058204017979567,0.29186404746676353,1.3235173771044806
8,1.91,0.413956354331195,0.7058204017979579,0.2918640474667629,1.323517377104478
8,2.0,0.41395635433119454,0.705820401797958,0.2918640474667635,1.3235173771044786
