N,h,lambda1,lambda2,gap,alpha
10,0.0,1.0,1.0,0.0,nan
10,0.1,1.108816554813723,1.1094930284206022,0.0006764736068791688,0.0006448961684164289
10,0.2,1.0989026399999178,1.1034652659658228,0.004562625965905065,0.010466705036944636
10,0.30000000000000004,1.0586574330229697,1.0849172247538605,0.02625979173089088,0.07409740867979003
10,0.4,0.8730641154796922,1.0122514205976356,0.13918730511794342,0.3801450445561501
10,0.5,0.5030723995660235,0.8148602498003112,0.3117878502342878,1.0840603163116163
10,0.6000000000000001,0.2653181119126571,0.6109113511796065,0.3455932392669494,1.8738401986617244
10,0.7000000000000001,0.1694498455501401,0.48608155121405305,0.31663170566391297,2.5674655232643353
10,0.8,0.12844034246613467,0.41482150835222487,0.2863811658860902,3.1600105800809604
10,0.9,0.10792245571828274,0.3718834759668648,0.26396102024858203,3.6728015650944186
10,1.0,0.09622593443120397,0.3442587208666896,0.24803278643548565,4.123878480334621
10,1.1,0.08888653542342762,0.3254493351051013,0.2365627996816737,4.526311180940498
10,1.2000000000000002,0.08394517388493639,0.31203533065174827,0.22809015676681188,4.889537718212302
10,1.3,0.0804375096299852,0.30210252301385165,0.22166501338386646,5.220524552984177
10,1.4000000000000001,0.07784361404210949,0.29451747987418564,0.21667386583207615,5.524541989940254
10,1.5,0.07586221007345073,0.28857552867730574,0.212713318603855,5.80566813587266
10,1.6,0.07430832890733141,0.2838199139497961,0.2095115850424647,6.067121527048053
10,1.7000000000000002,0.07306293108648276,0.27994383325634997,0.2068809021698672,6.311486213631132
10,1.8,0.07204636099153983,0.2767347985469608,0.204688437555421,6.5408680048205525
10,1.9000000000000001,0.07120354311416466,0.27404169132346756,0.2028381482093029,6.0473300335921225
10,2.0,0.07049532211627163,0.2717545275692381,0.2012592054529665,6.2113423543600375
