N,delta,lambda1,lambda2,gap,alpha
8,0.0,0.4139563543311934,0.7058204017979577,0.2918640474667643,1.3235173771044797
8,0.1,0.3770313648511411,0.6641338439473423,0.28710247909620124,1.427193190551487
8,0.2,0.3443444554864283,0.6261365087550486,0.2817920532686203,1.526716638954624
8,0.30000000000000004,0.31574323493716705,0.5921578218588472,0.2764145869216802,1.6213684783755384
8,0.4,0.2910969235042312,0.562441835188282,0.2713449116840507,1.710070609633988
8,0.5,0.2703025301188815,0.5371628102670347,0.2668602801481532,1.7913191793907899
8,0.6000000000000001,0.25329026725863935,0.5164381526701954,0.2631478854115561,1.8631487440834082
8,0.7000000000000001,0.2400259860626628,0.500337396154153,0.26031141009149017,1.9231757852874907
8,0.8,0.23050938126800344,0.48888665096188716,0.25837726969388375,1.9687777494459953
8,0.9,0.22476743514300832,0.4820686195552513,0.25730118441224303,1.9974426674207624
8,1.0,0.22284317912861462,0.47981889804029865,0.256975718911684,2.0072555113688124
8,1.1,0.2247804230482394,0.4820198078780642,0.2572393848298248,1.997386231816254
8,1.2000000000000002,0.230605650006978,0.48849341177894195,0.25788776177196393,1.9683823914072993
8,1.3,0.24030877243339765,0.49899560416136335,0.2586868317279657,1.9221258270505182
8,1.4000000000000001,0.2538248282893643,0.5132131586274435,0.25938833033807923,1.8614738762565421
8,1.5,0.27101887690002013,0.5307653053057766,0.25974642840575646,1.7897499383484021
8,1.6,0.29167623449549496,0.5512107934406051,0.2595345589451101,1.71027286929112
8,1.7000000000000002,0.3154997038734789,0.574060541188705,0.25856083731522606,1.6260361251696966
8,1.8,0.3421146103711252,0.598795036503045,0.25668042613191977,1.5395514403351576
8,1.9000000000000001,0.37108137404550734,0.624884828719459,0.2538034546739517,1.4528161927916434
8,2.0,0.4019142381320597,0.6518119277680379,0.2498976896359782,1.367352120386279
